Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,114.10,137.70,168.10,238.10,379.30,545.70,547.30,565.70,285.50,158.30,85.14,109.50
2,112.10,131.60,165.70,246.00,394.30,549.60,549.70,570.60,296.90,154.50,86.91,106.10
3,108.70,139.30,162.10,245.40,410.20,545.40,559.80,568.90,284.80,149.10,87.37,104.30
4,112.40,153.40,177.50,248.50,417.80,538.20,567.20,564.10,263.80,146.40,87.03,101.00
5,114.00,166.90,174.70,251.50,425.10,527.50,586.70,581.30,242.30,143.70,87.54,98.86
6,114.20,161.20,168.70,265.50,422.80,523.60,492.70,570.80,242.60,139.10,89.44,97.22
7,111.70,159.30,161.30,287.00,426.50,516.60,488.80,576.60,238.30,134.20,90.88,96.40
8,110.50,154.20,156.40,319.50,434.40,509.90,483.30,491.00,226.30,130.50,90.51,94.83
9,110.50,152.70,156.80,306.90,430.00,506.10,474.90,482.70,215.70,123.70,90.94,96.12
10,109.30,151.80,160.00,301.00,419.10,512.60,467.90,492.40,206.30,118.60,92.41,95.09
11,108.50,150.00,169.40,288.60,426.30,502.10,466.40,484.20,212.10,115.10,91.61,97.24
12,108.00,150.60,177.40,312.70,429.50,492.70,482.40,465.70,204.70,110.40,90.71,96.13
13,107.80,152.80,182.00,341.80,435.00,489.50,478.20,448.70,199.40,105.30,92.63,91.17
14,106.90,157.70,186.20,517.80,426.10,471.30,488.40,440.80,199.00,103.80,93.81,90.18
15,109.80,157.60,192.40,695.30,434.30,463.90,501.70,431.20,195.80,102.60,95.96,88.54
16,115.60,154.80,192.60,681.30,438.50,471.20,511.10,422.90,188.00,102.30,96.55,88.58
17,119.60,153.50,195.40,616.00,443.50,474.90,525.80,414.40,176.30,101.80,97.83,87.41
18,165.30,161.30,197.80,433.40,444.20,470.90,541.40,398.10,168.50,101.90,98.23,88.33
19,161.10,161.60,200.60,408.20,451.30,479.10,549.30,375.20,171.10,101.40,100.00,86.51
20,153.80,164.60,197.00,403.30,438.80,489.80,561.10,353.30,173.70,97.01,101.10,85.15
21,147.80,165.20,199.10,394.80,445.10,494.10,566.60,327.20,176.00,95.06,102.20,85.31
22,141.10,169.60,203.60,385.20,454.40,493.40,548.40,331.40,177.90,93.17,103.20,87.55
23,138.80,176.40,208.30,373.90,458.60,484.30,532.20,288.90,180.50,90.17,102.80,88.94
24,136.50,175.60,212.50,362.40,468.10,494.20,516.80,286.70,182.90,88.55,104.10,90.46
25,135.30,178.30,219.80,343.60,473.90,507.90,533.10,281.50,184.60,86.03,104.50,88.65
26,150.20,173.20,225.40,352.50,476.10,517.10,546.30,273.50,180.50,84.78,104.10,88.10
27,159.70,170.20,238.80,344.20,489.30,525.60,563.60,269.40,177.20,86.13,106.50,89.16
28,159.20,174.90,250.40,345.40,502.30,529.50,580.30,264.30,172.80,87.91,107.30,88.05
29,156.60,158.75,249.30,352.70,509.30,538.20,578.50,260.40,170.80,88.99,109.10,85.98
30,152.60,158.75,220.40,370.40,518.70,549.30,562.70,265.60,163.40,86.30,107.40,83.93
31,150.50,158.75,227.90,349.25,531.80,509.61,546.80,274.50,209.45,85.34,97.86,82.03
