DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,204.5,217.9,210.2,392.6,316.7,379.7,388.6,347.8,290.1,244.1,193.7,179.4
2,211.4,216.9,214.9,420.5,325.1,383.5,408.9,335.4,280.4,241.2,187.4,173.1
3,215.0,209.8,220.4,768.1,331.4,390.9,411.3,329.9,286.8,238.9,189.8,166.6
4,213.4,202.9,219.5,848.6,343.4,398.3,404.5,317.7,281.2,237.7,190.6,161.8
5,245.9,195.5,210.7,546.1,352.3,396.7,402.4,297.0,296.2,238.4,194.9,156.3
6,237.1,188.6,214.2,430.6,364.0,377.3,409.1,299.9,301.9,239.6,186.8,157.6
7,225.9,186.8,220.5,388.3,363.7,382.2,411.4,286.5,284.3,235.9,183.3,158.5
8,220.6,192.7,217.9,353.1,345.7,373.1,404.0,383.4,282.7,232.5,184.3,155.1
9,214.0,200.5,209.7,358.6,352.8,402.8,389.3,369.0,274.6,234.0,182.3,154.4
10,211.6,208.7,206.6,389.7,360.9,391.1,386.0,324.5,270.2,233.4,181.1,157.2
11,210.0,215.4,219.3,367.1,367.7,390.5,380.4,342.3,273.0,229.1,180.1,163.9
12,208.6,221.2,247.9,339.9,384.2,389.8,386.1,337.2,273.8,229.4,179.3,162.6
13,218.9,230.5,388.0,323.9,391.6,387.6,435.1,317.4,270.2,225.8,179.3,157.3
14,216.3,239.0,329.1,313.3,376.7,391.5,396.1,313.6,265.3,227.3,176.5,158.0
15,209.0,236.1,344.7,300.5,368.6,393.4,413.2,341.3,263.3,221.6,174.4,159.2
16,202.4,224.1,322.4,289.7,362.0,415.3,405.3,310.4,261.7,219.9,171.7,160.1
17,207.2,216.5,336.5,296.1,364.3,402.2,386.4,305.3,261.3,216.6,174.9,160.1
18,196.4,210.0,317.0,349.3,379.9,398.9,386.6,289.8,265.5,212.2,170.0,161.2
19,191.6,204.7,416.8,366.3,389.0,393.2,409.9,292.7,265.4,213.5,165.1,162.6
20,186.5,198.2,372.7,364.4,397.2,385.5,393.2,284.8,264.8,214.8,167.2,161.1
21,181.0,200.5,343.5,342.6,403.5,398.5,386.3,282.5,266.1,212.9,164.4,162.3
22,185.8,209.4,327.5,356.8,410.9,405.4,372.5,287.8,276.2,211.9,159.5,158.6
23,192.2,211.2,318.3,347.7,414.9,404.1,370.6,268.2,271.4,208.6,160.5,159.8
24,191.4,203.2,308.4,329.4,414.5,389.1,367.6,261.5,266.2,204.8,159.8,158.2
25,198.7,205.9,404.4,318.6,365.1,389.2,363.3,271.9,262.6,205.3,156.7,155.4
26,195.5,200.3,369.6,303.6,359.1,366.2,355.9,284.3,257.4,203.0,158.8,153.9
27,192.2,204.3,355.4,295.9,382.5,375.6,398.2,294.8,254.2,201.3,175.0,157.0
28,199.9,201.6,334.8,293.6,385.5,388.8,373.4,302.6,251.6,199.1,181.6,158.5
29,206.0,207.7,336.2,304.1,382.9,371.7,360.8,303.4,253.3,197.6,183.0,156.7
30,211.7,,350.5,310.9,375.6,378.4,364.0,295.0,255.9,196.2,185.4,153.9
31,215.0,,370.2,,388.0,,354.4,290.0,,196.1,,159.6
